#file	sha256	retrieved	licence	url	what it settled
OpenGD77/gd-77_firmware_loader.py	cf221692573ff4d12042cb2543c6b9291419b6f5cd8c12cabf58a6ab91d01526	2026-08-29	GPL-2.0	https://raw.githubusercontent.com/na7q/OpenGD77/master/Linux/FirmwareLoader/gd-77_firmware_loader.py	SGL container offsets and the key the radio is sent. The repository originally cited, rogerclarkmelbourne/OpenGD77, has since been taken down, so this is a mirror
chirp/baofeng_common.py	5ff41c7cae74030a2ef15b0ae82fa6d10de44d057b19ca46716bb3bd30f57d91	2026-08-29	GPL-3.0	https://raw.githubusercontent.com/kk7ds/chirp/master/chirp/drivers/baofeng_common.py	The clone handshake shared by the Baofeng drivers
chirp/baofeng_uv17Pro.py	6f0bafb7535c1e33516bd85bd8f542890baa28a84ef6778fd021ac70cb39dd1c	2026-08-29	GPL-3.0	https://raw.githubusercontent.com/kk7ds/chirp/master/chirp/drivers/baofeng_uv17Pro.py	UV-17Pro family codeplug: memory map, channel struct, tone encoding
chirp/uv5r.py	12095651b0b658ac20349f2f8727e580f5c5ff75d69a84c59b3146f14f09df92	2026-08-29	GPL-3.0	https://raw.githubusercontent.com/kk7ds/chirp/master/chirp/drivers/uv5r.py	Classic UV-5R codeplug and clone protocol, including model_match
dfu-util/dfuse.c	43acbc3b7f424a7282538017ce69dd0cdcb66b262d89ac813a5763339acd99a4	2026-08-29	GPL-2.0	https://raw.githubusercontent.com/Stefan-Schmidt/dfu-util/master/src/dfuse.c	The reference DfuSe host. Settles that the address is set before every download block, with the block number always two
dmrconfig/dfu-libusb.c	fb4575be413325e9894d360126bd1bbea6ccf606a2189328a6b2173a1b29826e	2026-08-29	BSD-2-Clause	https://raw.githubusercontent.com/sergev/dmrconfig/master/dfu-libusb.c	How a codeplug is moved to and from an MD-UV380 family radio over DFU, including the block number gap and the erase addresses
dmrconfig/uv380.c	8058db81615da27a6971af83fe3ee6a1c22b9d6e12391ccf1e8744d2cbd83f51	2026-08-29	BSD-2-Clause	https://raw.githubusercontent.com/sergev/dmrconfig/master/uv380.c	RDT codeplug offsets and the CPS version field
h8300-flasher/main.c	ef68345a6a8d7e4af82491232a681018b986a5840cc3e13d894c725c9640d722	2026-08-29	GPL-3.0	https://raw.githubusercontent.com/n1zzo/h8300-flasher/master/main.c	H8SX boot protocol. The ancestor of radio_tool's h8sx.cpp, not an independent implementation
md380tools/md380_fw.py	54c52ac7d76cb3e3b9ffebaa64ce92d6995fa50ca29fa1372352f93b32536529	2026-08-29	GPL-2.0	https://raw.githubusercontent.com/travisgoodspeed/md380tools/master/md380_fw.py	TYT firmware container and the MD380 and MD2017 XOR keys
ymodem/xymodem-protocol-reference.txt	34d77f6a5b4477045fdfc1e5e50d185311b5a57cdbe916f8aeb797354d2c2e67	2026-08-29	public specification	http://textfiles.com/programming/ymodem.txt	Chuck Forsberg's XMODEM/YMODEM reference, which the ymodem module is written against rather than against any one implementation
